line_type	tag	concordant_site_freq	num_introgressed_1	num_introgressed_0	seq_ids_('par', 'bay')	seq_ids_('par', 'par')	seq_ids_('cer', 'cer')	seq_ids_('cer', 'bay')	seq_ids_('bay', 'bay')	seq_ids_('cer', 'par')	concordant_tree_frac
mean	s1	1.0	0.0	0.0	0.58443856	NA	0.99855238	0.58439973	NA	0.86059429	1.0
std_err	s1	0.0	0.0	0.0	0.000105816080864	NA	4.19358193976e-05	0.000103744432788	NA	6.99343285247e-05	0.0
bs_lower	s1	1.0	0.0	0.0	0.58428018	NA	0.99848756	0.58423268	NA	0.86047004	1.0
bs_upper	s1	1.0	0.0	0.0	0.58473186	NA	0.99865218	0.58460726	NA	0.86069648	1.0
mean	s2	0.59469848	50000.0	50000.0	0.58433856	NA	0.9968104	0.58433108	NA	0.99498158	0.594689029073
std_err	s2	0.0148780075033	0.0	0.0	0.000100875405198	NA	0.000120777185629	0.000100654477086	NA	9.52239923145e-05	0.0148731801906
bs_lower	s2	0.56634892	50000.0	50000.0	0.58415958	NA	0.99656796	0.58410602	NA	0.99479386	0.56679643408
bs_upper	s2	0.6286059	50000.0	50000.0	0.5845899	NA	0.99697464	0.5845478	NA	0.99518924	0.622255371197
mean	s3	0.9944595	15394.551	15356.177	0.5846088	NA	0.99796686	0.58458861	NA	0.88317295	0.994457755365
std_err	s3	0.00214302591721	692.92702218	691.477128531	0.000100190973601	NA	0.000225954868376	9.85158451197e-05	NA	0.00121169494686	0.00214642812592
bs_lower	s3	0.99005004	13994.427	14041.182	0.58444546	NA	0.99750824	0.58438495	NA	0.88127475	0.990279289209
bs_upper	s3	0.99844412	16583.516	16619.33	0.5848114	NA	0.99831094	0.58475487	NA	0.88545066	0.998111220712
mean	s4	1.0	0.0	0.0	0.5844553	NA	0.99849478	0.58444735	NA	0.86061233	1.0
std_err	s4	0.0	0.0	0.0	9.75442976293e-05	NA	4.41767261659e-05	9.75461805241e-05	NA	6.40393934623e-05	0.0
bs_lower	s4	1.0	0.0	0.0	0.58431024	NA	0.99841876	0.58427486	NA	0.86049755	1.0
bs_upper	s4	1.0	0.0	0.0	0.58463526	NA	0.99857114	0.58463738	NA	0.86075909	1.0
mean	s5	0.58725836	50000.0	50000.0	0.58470434	NA	0.99683636	0.5847041	NA	0.99496626	0.586828567916
std_err	s5	0.0143119441456	0.0	0.0	0.000100085140754	NA	0.000106199768084	0.000100092564716	NA	9.79547167774e-05	0.0143080347921
bs_lower	s5	0.56626418	50000.0	50000.0	0.58449946	NA	0.99655108	0.58452599	NA	0.99480292	0.560341906651
bs_upper	s5	0.61886056	50000.0	50000.0	0.58487608	NA	0.9969936	0.58489188	NA	0.99515662	0.608912955022
