line_type	tag	concordant_site_freq	num_introgressed_1	num_introgressed_0	seq_ids_('par', 'bay')	seq_ids_('par', 'par')	seq_ids_('cer', 'cer')	seq_ids_('cer', 'bay')	seq_ids_('bay', 'bay')	seq_ids_('cer', 'par')	concordant_tree_frac
mean	2-1	1.0	0.0	0.0	0.58448318	NA	0.99854878	0.58449877	NA	0.86049991	1.0
std_err	2-1	0.0	0.0	0.0	0.000101118873185	NA	4.07843434945e-05	9.90933008299e-05	NA	6.43644706106e-05	0.0
bs_lower	2-1	1.0	0.0	0.0	0.58430116	NA	0.9984495	0.58425841	NA	0.86038853	1.0
bs_upper	2-1	1.0	0.0	0.0	0.58469276	NA	0.99862416	0.58473474	NA	0.86061463	1.0
mean	2-2	0.99998442	1728.56	1727.781	0.58441604	NA	0.99847144	0.58447502	NA	0.8630403	0.999973170732
std_err	2-2	1.558e-05	261.376630136	261.380623837	9.83571982971e-05	NA	4.50797483368e-05	0.000100180610671	NA	0.000476311105875	2.6829268293e-05
bs_lower	2-2	0.99993768	1273.119	1207.547	0.58426204	NA	0.9983896	0.58425705	NA	0.86222456	0.999919512195
bs_upper	2-2	1.0	2373.204	2201.618	0.58460898	NA	0.99855274	0.5847001	NA	0.86398301	1.0
mean	2-3	0.99721522	5292.758	5269.405	0.58449416	NA	0.99817136	0.58452384	NA	0.8684074	0.997239923914
std_err	2-3	0.00152106860202	449.335079807	449.002238887	9.93629492824e-05	NA	0.00020838358349	9.91492129107e-05	NA	0.000767642765129	0.00151575799814
bs_lower	2-3	0.99321522	4390.997	4306.476	0.58430476	NA	0.99784458	0.58432225	NA	0.86690789	0.993239923914
bs_upper	2-3	0.99968228	6104.231	6164.711	0.58467124	NA	0.99852266	0.58475275	NA	0.87005331	0.999110749186
mean	2-4	0.995432	9759.79	9702.768	0.5846127	NA	0.99799298	0.58456031	NA	0.87490889	0.995416360631
std_err	2-4	0.00197641153512	572.122032402	570.598558925	9.83351010682e-05	NA	0.000243316425262	9.94000753464e-05	NA	0.000983938553745	0.00197513923104
bs_lower	2-4	0.98998012	8711.055	8691.015	0.5844136	NA	0.99752262	0.58431331	NA	0.87324209	0.991144942489
bs_upper	2-4	0.99831862	10807.121	10521.45	0.58476338	NA	0.99836962	0.5847438	NA	0.87694892	0.998595377692
mean	2-5	0.99602856	13720.123	13817.769	0.5844479	NA	0.99800366	0.58445033	NA	0.88047785	0.995992473509
std_err	2-5	0.00179939524985	644.203849398	645.858252196	9.88878232726e-05	NA	0.000231750951471	9.74852540945e-05	NA	0.00110670673698	0.00180510642672
bs_lower	2-5	0.99189928	12457.27	12527.944	0.58428126	NA	0.9974107	0.58428076	NA	0.87831605	0.992268648656
bs_upper	2-5	0.99955944	14953.666	15265.049	0.58463462	NA	0.99840714	0.58462822	NA	0.88270395	0.998937523416
mean	2-6	0.9895662	26493.11	26614.649	0.58452096	NA	0.99756044	0.58451018	NA	0.90263938	0.989461218734
std_err	2-6	0.00275718819995	712.606649488	711.771204331	0.000101925042029	NA	0.000292614729613	0.000101164882746	NA	0.00140709235821	0.00276070439327
bs_lower	2-6	0.98395352	25261.665	24959.706	0.58432928	NA	0.99678412	0.58433842	NA	0.90001539	0.982644570993
bs_upper	2-6	0.9939566	28041.873	28166.781	0.58472206	NA	0.99803656	0.58468857	NA	0.90554527	0.994337910903
